AGE,SEXE,NB_POLICE,FORMATION,STATUT_MARITAL,LOISIR,EMPLOI,V_MARQUE,V_ANNEE,S_HEURE,NB_VEH_IMPLIQUE,NB_BLESSE,NB_TEMOIN,TYPE_SINISTRE,TYPE_COLLISION,SEV_SINISTRE,AUTORITE,DOMMAGE_MATERIEL,PROCES_VERB,FRAUDE
64,M,1,Aucun,Célibataire,cross-fit,sans-emploi,Suburu,2019,16,1,0,2,Collision isolée,?,Bris,Aucun,?,N,N
88,M,8,Primaire,Célibataire,musique,agriculteur,Saab,2015,6,1,2,1,Collision multiple,Collision coté,Perte totale,Aucun,?,N,N
90,M,4,Primaire,Veuve,camping,professeur,Chevrolet,2005,13,2,0,3,Vol,Collision frontale,Dommage mineur,Autre,?,O,N
85,M,1,Aucun,Marié,équitation,ouvrier,BMW,2020,3,1,2,2,Collision isolée,?,Dommage majeur,Autre,?,O,N
109,M,7,Primaire,Veuf,musique,ouvrier,BMW,2015,0,1,2,3,Vol,?,Bris,Autre,NON,N,O
111,M,4,Primaire,Veuve,camping,technicien,Audi,1999,15,3,0,1,Collision multiple,Collision coté,Dommage majeur,Aucun,?,O,N
105,M,1,Aucun,Marié,équitation,cadre,Nissan,2020,21,1,2,0,Stationnement,Collision frontale,Dommage mineur,Pompier,?,O,N
100,M,7,Professionel,Célibataire,jeux-vidéo,employé,Nissan,2017,12,3,2,2,Collision isolée,?,Bris,Autre,NON,N,N
30,F,4,Secondaire,Veuf,jeux-plateau,artisant,Mercedes,1999,9,3,2,3,Vol,Collision frontale,Bris,Autre,NON,O,N
55,F,1,Professionel,Divorcé,golf,sécurité,Mercedes,2017,6,3,1,0,Stationnement,Collision arrière,Dommage mineur,Autre,NON,N,O
79,F,6,Secondaire,Concubinage,cinéma,technicien,Mercedes,2022,9,3,1,3,Collision multiple,Collision arrière,Perte totale,Autre,NON,O,N
104,F,3,Professionel,Divorcé,basketball,technicien,Accura,2016,5,3,1,0,Stationnement,Collision arrière,Dommage mineur,Autre,NON,N,O
88,M,8,Baccalauréat,Célibataire,golf,technicien,Accura,2019,17,2,0,3,Vol,Collision frontale,Bris,Police,OUI,O,N
89,F,6,Baccalauréat,Divorcé,saut-élastique,artisant,Accura,2016,7,3,1,2,Collision isolée,Collision coté,Dommage majeur,Police,OUI,O,N
84,M,2,3ème cycle,Veuve,chasse,employé,Accura,2022,4,2,1,2,Stationnement,Collision arrière,Bris,SAMU-SMUR,?,N,N
109,M,8,Baccalauréat,Célibataire,jeux-vidéo,artisant,Honda,2019,10,2,0,1,Collision multiple,Collision coté,Perte totale,Aucun,OUI,O,N
38,M,5,3ème cycle,Veuve,camping,commercant,Honda,2009,7,2,0,2,Collision isolée,Collision coté,Dommage majeur,Aucun,OUI,O,N
33,M,2,Aucun,Concubinage,cross-fit,employé,Honda,2022,22,1,0,0,Stationnement,Collision arrière,Perte totale,Police,?,N,N
34,M,8,Baccalauréat,Célibataire,jeux-vidéo,chauffeur,Suburu,2019,4,2,0,3,Vol,Collision frontale,Bris,Autre,OUI,N,O
29,M,4,Primaire,Veuve,camping,agriculteur,Suburu,2016,19,2,0,1,Collision multiple,Collision coté,Dommage majeur,Aucun,?,O,N
54,M,1,Aucun,Célibataire,cross-fit,sans-emploi,Saab,2022,16,1,0,2,Collision isolée,?,Bris,Aucun,?,N,N
55,M,8,Baccalauréat,Célibataire,jeux-vidéo,prof-médicale,Saab,2018,6,1,0,1,Collision multiple,Collision arrière,Perte totale,Aucun,?,N,N
50,M,4,Primaire,Veuve,camping,professeur,Saab,2005,13,1,2,2,Vol,Collision frontale,Dommage mineur,Autre,?,O,N
98,M,1,Aucun,Célibataire,cross-fit,sécurité,Saab,2019,0,1,2,2,Collision isolée,?,Bris,Police,NON,N,N
28,F,7,Secondaire,Veuve,marche,technicien,Renault,2009,21,3,2,3,Vol,Collision frontale,Dommage mineur,Police,NON,O,N
29,M,4,Aucun,Marié,jeux-plateau,cadre,BMW,2022,3,1,2,2,Collision isolée,Collision coté,Dommage majeur,Autre,?,O,N
78,F,9,Secondaire,Concubinage,exercise,professeur,Renault,2009,14,3,1,1,Collision multiple,Collision coté,Perte totale,Police,NON,N,N
79,M,6,Secondaire,Marié,marche,technicien,Renault,2020,21,1,2,3,Vol,Collision frontale,Dommage mineur,Aucun,NON,O,N
104,M,3,Professionel,Veuf,kayak,contremaître,Peugeot,2017,18,3,2,0,Stationnement,Collision arrière,Perte totale,Aucun,NON,N,N
98,F,9,Secondaire,Concubinage,exercise,sécurité,Audi,2009,8,3,1,3,Vol,?,Bris,Aucun,NON,N,O
28,F,6,Baccalauréat,Divorcé,saut-élastique,technicien,Audi,2020,5,3,1,0,Stationnement,Collision frontale,Dommage mineur,Aucun,OUI,O,O
76,F,3,Secondaire,Concubinage,chasse,employé,Peugeot,1999,16,2,0,3,Vol,?,Bris,SAMU-SMUR,?,N,N
78,F,8,Baccalauréat,Divorcé,golf,ingénieur,Accura,2021,23,2,1,1,Collision multiple,Collision coté,Dommage majeur,Police,OUI,O,N
72,M,6,3ème cycle,Divorcé,camping,contremaître,Accura,2017,13,2,0,0,Stationnement,Collision frontale,Dommage mineur,Police,OUI,O,N
74,F,2,3ème cycle,Concubinage,chasse,commercant,Mercedes,2015,20,2,1,2,Collision isolée,?,Bris,Aucun,OUI,N,N
99,M,8,Baccalauréat,Célibataire,golf,agriculteur,Volkswagen,2018,17,2,1,3,Vol,Collision frontale,Bris,Aucun,OUI,O,N
29,M,5,3ème cycle,Veuve,camping,sans-emploi,Volkswagen,2009,14,2,0,0,Stationnement,Collision arrière,Dommage mineur,Aucun,OUI,N,N
23,M,1,Aucun,Célibataire,cross-fit,commercant,Honda,1999,4,2,0,2,Vol,?,Bris,Police,?,N,O
78,M,8,3ème cycle,Veuve,parachutisme,chauffeur,Volkswagen,2015,15,1,0,2,Collision isolée,Collision coté,Dommage majeur,SAMU-SMUR,NON,O,N
73,M,4,Aucun,Marié,jeu-échecs,sans-emploi,Ford,2005,22,1,0,0,Stationnement,Collision arrière,Dommage mineur,Police,?,N,N
67,M,2,Primaire,Célibataire,lecture,prof-médicale,Ford,2020,12,1,2,3,Vol,?,Bris,Police,NON,N,O
92,M,7,Secondaire,Veuve,marche,agriculteur,Ford,2015,9,1,2,0,Stationnement,Collision frontale,Dommage mineur,SAMU-SMUR,NON,O,O
94,M,4,Aucun,Marié,jeu-échecs,prof-médicale,Saab,1999,16,1,2,2,Collision isolée,?,Dommage majeur,Aucun,?,N,N
88,M,1,Professionel,Veuf,lecture,ouvrier,Saab,2020,6,1,2,1,Collision multiple,Collision arrière,Perte totale,Police,NON,N,N
90,M,7,Primaire,Veuf,parachutisme,technicien,Renault,2017,13,1,2,3,Vol,Collision frontale,Bris,Autre,?,O,N
43,M,3,Professionel,Veuf,kayak,prof-médicale,Renault,2021,0,3,2,2,Collision isolée,?,Bris,Police,NON,N,N
26,F,9,Professionel,Divorcé,golf,professeur,Fiat,2022,17,3,1,0,Stationnement,Collision frontale,Dommage mineur,SAMU-SMUR,OUI,O,O
51,F,5,3ème cycle,Concubinage,cinéma,prof-médicale,Fiat,2017,14,3,1,1,Collision multiple,Collision arrière,Perte totale,Pompier,OUI,N,N
46,M,3,Baccalauréat,Concubinage,jeux-plateau,ingénieur,Fiat,1999,5,2,0,3,Vol,Collision frontale,Bris,Pompier,OUI,O,N
71,M,9,3ème cycle,Divorcé,parachutisme,employé,Chevrolet,2019,1,2,0,0,Stationnement,Collision arrière,Dommage mineur,Pompier,OUI,O,N
72,F,5,3ème cycle,Concubinage,cinéma,contremaître,Renault,2017,8,3,1,2,Collision isolée,?,Bris,SAMU-SMUR,OUI,N,N
67,M,2,Baccalauréat,Célibataire,cross-fit,technicien,Peugeot,2005,22,2,0,1,Collision multiple,Collision coté,Perte totale,SAMU-SMUR,OUI,O,N
68,F,8,Baccalauréat,Divorcé,golf,artisant,Peugeot,2021,5,3,1,3,Stationnement,Collision frontale,Dommage mineur,Police,OUI,O,O
21,M,5,Aucun,Célibataire,jeu-échecs,contremaître,Peugeot,2022,16,2,0,3,Vol,?,Bris,SAMU-SMUR,?,N,O
76,M,2,3ème cycle,Veuve,danse,artisant,BMW,2017,3,1,0,2,Collision isolée,Collision coté,Dommage majeur,Autre,?,O,N
71,M,7,Aucun,Célibataire,jeux-vidéo,employé,Nissan,2015,10,1,0,0,Stationnement,Collision arrière,Perte totale,Pompier,?,N,N
65,M,5,Primaire,Célibataire,jeu-échecs,sans-emploi,Nissan,2022,0,1,2,3,Vol,?,Bris,Pompier,?,N,N
90,M,2,Secondaire,Veuve,équitation,chauffeur,Nissan,2017,21,1,2,0,Stationnement,Collision frontale,Dommage mineur,Pompier,NON,O,O
92,M,7,Aucun,Marié,jeux-vidéo,sans-emploi,Volkswagen,2015,4,1,0,2,Collision isolée,?,Dommage majeur,SAMU-SMUR,?,N,N
86,M,4,Primaire,Veuf,kayak,commercant,Volkswagen,2022,18,1,2,1,Collision multiple,Collision arrière,Perte totale,SAMU-SMUR,NON,N,N
111,M,9,Secondaire,Marié,équitation,agriculteur,Volkswagen,2017,15,1,2,1,Collision isolée,Collision coté,Dommage majeur,Pompier,NON,O,N
18,M,7,Aucun,Marié,jeux-vidéo,prof-médicale,Toyota,2005,22,1,2,0,Stationnement,Collision arrière,Dommage mineur,Pompier,?,N,N
107,M,3,Professionel,Veuf,kayak,ouvrier,Ford,2022,12,1,2,3,Vol,?,Bris,SAMU-SMUR,NON,N,N
102,F,1,Primaire,Veuf,danse,technicien,Ford,2017,3,3,2,3,Collision multiple,Collision coté,Perte totale,SAMU-SMUR,NON,O,N
32,F,7,Professionel,Marié,saut-élastique,contremaître,Fiat,2005,23,3,1,2,Collision isolée,?,Dommage majeur,SAMU-SMUR,NON,N,N
33,M,3,Professionel,Veuf,kayak,sécurité,Saab,2019,6,1,2,0,Collision multiple,Collision arrière,Perte totale,Police,NON,N,N
81,F,9,Baccalauréat,Divorcé,golf,professeur,Fiat,2009,17,3,1,0,Stationnement,Collision frontale,Dommage mineur,Pompier,OUI,O,O
41,F,6,Secondaire,Concubinage,cinéma,sécurité,Suburu,2018,20,3,1,3,Vol,?,Bris,SAMU-SMUR,OUI,N,O
66,F,2,Baccalauréat,Divorcé,basketball,technicien,Suburu,1999,17,3,1,0,Stationnement,Collision frontale,Dommage mineur,Pompier,OUI,O,O
91,F,8,3ème cycle,Concubinage,exercise,contremaître,Suburu,2018,14,3,1,0,Stationnement,Collision arrière,Perte totale,Pompier,OUI,N,N
86,M,5,Baccalauréat,Célibataire,jeu-échecs,technicien,Chevrolet,2015,4,2,0,3,Vol,Collision frontale,Bris,Pompier,OUI,N,N
110,M,2,3ème cycle,Veuve,danse,technicien,Chevrolet,2021,1,2,0,0,Stationnement,Collision frontale,Dommage mineur,Pompier,?,O,N
105,M,8,Aucun,Concubinage,exercise,commercant,BMW,2018,16,1,0,2,Collision isolée,?,Bris,Autre,?,N,N
106,M,5,Baccalauréat,Célibataire,jeu-échecs,employé,Peugeot,2015,22,2,0,1,Collision multiple,Collision arrière,Perte totale,SAMU-SMUR,OUI,N,N
101,M,1,Primaire,Veuve,danse,ingénieur,Nissan,1999,13,1,0,3,Vol,Collision frontale,Dommage mineur,Pompier,?,O,N
31,M,7,Aucun,Marié,jeux-vidéo,employé,Nissan,2018,10,1,0,0,Stationnement,Collision arrière,Dommage mineur,Pompier,?,N,N
32,M,5,Baccalauréat,Célibataire,jeu-échecs,sans-emploi,Nissan,2009,16,2,0,3,Vol,?,Bris,Police,?,N,N
27,M,1,Primaire,Veuve,danse,agriculteur,Volkswagen,1999,7,1,0,1,Collision multiple,Collision coté,Perte totale,SAMU-SMUR,?,O,N
28,M,8,3ème cycle,Veuve,parachutisme,professeur,Volkswagen,2017,21,1,2,2,Stationnement,Collision frontale,Dommage mineur,SAMU-SMUR,NON,N,N
46,M,4,Aucun,Célibataire,jeu-échecs,prof-médicale,Mercedes,2021,18,3,2,1,Collision multiple,Collision arrière,Perte totale,Pompier,NON,O,N
101,M,1,Aucun,Marié,équitation,chauffeur,Volkswagen,2018,21,1,2,0,Stationnement,Collision frontale,Dommage mineur,SAMU-SMUR,NON,O,N
96,F,7,Professionel,Célibataire,musique,sans-emploi,Toyota,2015,12,3,2,2,Collision isolée,?,Bris,Pompier,NON,N,N
26,F,3,Secondaire,Concubinage,jeux-plateau,chauffeur,Toyota,2020,9,3,1,3,Vol,Collision frontale,Bris,Pompier,NON,O,N
51,F,9,Professionel,Divorcé,golf,ouvrier,Toyota,2015,5,3,1,0,Stationnement,Collision arrière,Dommage mineur,Pompier,NON,O,O
75,F,6,Secondaire,Concubinage,cinéma,ouvrier,Honda,2018,2,3,1,1,Collision multiple,Collision arrière,Perte totale,Pompier,OUI,N,N
100,F,2,Baccalauréat,Divorcé,basketball,professeur,Toyota,2016,23,3,1,2,Collision isolée,Collision coté,Dommage majeur,Autre,OUI,O,N
30,F,9,3ème cycle,Concubinage,exercise,sécurité,Honda,2019,10,3,1,1,Collision multiple,Collision arrière,Perte totale,Aucun,OUI,N,N
55,M,5,Baccalauréat,Divorcé,saut-élastique,cadre,Suburu,2017,17,2,1,3,Vol,Collision frontale,Dommage mineur,Autre,OUI,O,N
49,M,3,3ème cycle,Divorcé,basketball,ingénieur,Suburu,2005,7,2,0,2,Collision isolée,Collision coté,Dommage majeur,Autre,?,O,N
51,F,8,3ème cycle,Concubinage,exercise,contremaître,Suburu,2019,14,2,0,3,Stationnement,Collision arrière,Perte totale,Pompier,?,N,N
76,M,5,Baccalauréat,Célibataire,saut-élastique,ingénieur,Chevrolet,2016,11,2,0,1,Collision multiple,Collision coté,Perte totale,Pompier,OUI,O,N
70,M,2,Primaire,Veuve,danse,technicien,Chevrolet,2005,1,2,0,0,Stationnement,Collision frontale,Dommage mineur,Pompier,?,O,N
72,M,8,3ème cycle,Veuve,exercise,commercant,BMW,2021,8,2,1,2,Collision isolée,?,Dommage majeur,SAMU-SMUR,OUI,N,N
66,M,5,Baccalauréat,Célibataire,jeu-échecs,employé,BMW,2015,4,2,0,3,Collision multiple,Collision arrière,Perte totale,Autre,OUI,O,N
91,M,1,Primaire,Veuve,danse,artisant,Peugeot,2005,19,2,0,1,Collision isolée,Collision coté,Dommage majeur,Pompier,?,O,N
86,M,8,3ème cycle,Veuve,exercise,ouvrier,Nissan,2020,10,1,2,0,Stationnement,Collision arrière,Dommage mineur,Pompier,?,N,O
87,M,4,Aucun,Célibataire,jeu-échecs,sans-emploi,Accura,2018,16,2,0,3,Vol,?,Bris,SAMU-SMUR,?,N,N
82,M,2,Primaire,Veuf,danse,agriculteur,Volkswagen,2009,7,1,2,1,Collision multiple,Collision coté,Perte totale,SAMU-SMUR,?,O,N
107,M,7,Aucun,Marié,marche,sans-emploi,Volkswagen,2020,3,1,2,2,Collision isolée,?,Dommage majeur,SAMU-SMUR,?,O,N
108,M,4,Aucun,Célibataire,jeu-échecs,prof-médicale,Volkswagen,2017,10,2,0,0,Collision multiple,Collision arrière,Perte totale,Police,?,N,N
103,M,1,Primaire,Veuf,lecture,professeur,Ford,2009,0,1,2,3,Vol,Collision frontale,Bris,Police,?,O,N
32,M,7,Aucun,Marié,marche,professeur,Ford,2020,21,1,2,0,Stationnement,Collision frontale,Dommage mineur,Police,?,O,N
27,M,4,Aucun,Célibataire,jeu-échecs,contremaître,Fiat,1999,12,3,2,2,Collision isolée,?,Bris,SAMU-SMUR,NON,N,N
82,M,9,Secondaire,Divorcé,équitation,cadre,Toyota,2016,12,3,1,2,Collision isolée,?,Dommage majeur,Pompier,NON,N,N
35,F,7,3ème cycle,Veuf,cinéma,contremaître,Toyota,2005,2,3,1,1,Collision multiple,Collision arrière,Perte totale,Pompier,OUI,N,N
90,F,3,Professionel,Divorcé,basketball,cadre,Toyota,2017,5,3,1,0,Stationnement,Collision frontale,Dommage mineur,Pompier,OUI,O,O
20,F,8,3ème cycle,Concubinage,exercise,sécurité,Toyota,1999,2,3,1,1,Collision multiple,Collision arrière,Perte totale,Autre,OUI,N,N
110,M,5,Baccalauréat,Célibataire,saut-élastique,cadre,Suburu,2019,17,2,0,3,Vol,Collision frontale,Bris,Autre,OUI,O,N
93,M,1,Aucun,Célibataire,cross-fit,prof-médicale,Honda,2021,10,2,0,1,Collision multiple,Collision arrière,Perte totale,Police,?,N,N
23,M,7,Primaire,Veuve,parachutisme,cadre,Honda,2016,7,1,0,1,Collision multiple,Collision coté,Dommage majeur,Police,?,O,N
25,M,5,3ème cycle,Veuve,camping,employé,Ford,1999,21,2,0,0,Stationnement,Collision arrière,Dommage mineur,Police,OUI,O,N
19,M,1,Aucun,Célibataire,cross-fit,contremaître,Suburu,2021,4,2,0,2,Collision isolée,?,Bris,Aucun,?,N,N
109,M,8,Primaire,Célibataire,jeux-vidéo,agriculteur,Saab,2017,18,1,2,1,Collision multiple,Collision coté,Perte totale,Aucun,?,O,N
38,M,5,Aucun,Veuve,jeux-plateau,agriculteur,Saab,2021,15,1,2,2,Collision isolée,Collision coté,Dommage majeur,Aucun,?,O,N
63,M,2,Professionel,Veuf,lecture,contremaître,Saab,2018,12,1,2,3,Vol,?,Bris,Aucun,NON,N,O
65,M,7,Primaire,Veuf,parachutisme,agriculteur,Renault,2016,19,1,2,1,Collision multiple,Collision coté,Perte totale,Autre,?,O,N
90,M,4,Aucun,Marié,jeux-plateau,sans-emploi,Renault,2020,15,1,2,2,Collision isolée,?,Dommage majeur,Autre,?,N,N
84,M,9,Professionel,Veuf,lecture,commercant,BMW,2018,6,1,2,0,Collision multiple,Collision arrière,Perte totale,Aucun,NON,N,N
86,M,7,Primaire,Veuf,musique,professeur,Audi,2009,21,3,2,3,Vol,Collision frontale,Bris,Aucun,?,O,N
39,F,3,Professionel,Divorcé,kayak,sans-emploi,Audi,2019,0,3,2,2,Collision isolée,?,Dommage majeur,Aucun,NON,N,N
33,F,1,Secondaire,Veuf,lecture,prof-médicale,Audi,2005,21,3,1,3,Collision multiple,Collision arrière,Perte totale,Aucun,NON,O,N
58,F,6,Baccalauréat,Marié,saut-élastique,cadre,Audi,2021,11,3,1,1,Collision isolée,Collision coté,Dommage majeur,Police,OUI,O,N
60,F,3,Professionel,Divorcé,kayak,prof-médicale,Mercedes,2018,18,3,1,0,Stationnement,Collision arrière,Dommage mineur,Autre,NON,N,O
85,F,9,Secondaire,Concubinage,exercise,cadre,Audi,2020,11,3,1,1,Collision multiple,Collision coté,Dommage majeur,Police,OUI,O,N
38,M,5,3ème cycle,Veuve,camping,ouvrier,Nissan,2015,2,2,0,0,Stationnement,Collision arrière,Dommage mineur,Police,OUI,N,N
62,M,2,Baccalauréat,Célibataire,cross-fit,professeur,Accura,2022,22,2,0,1,Collision multiple,Collision coté,Perte totale,Police,OUI,N,N
64,F,8,Baccalauréat,Divorcé,golf,technicien,Accura,2019,13,2,1,3,Vol,Collision frontale,Dommage mineur,SAMU-SMUR,OUI,O,N
59,M,5,3ème cycle,Veuve,camping,sécurité,Honda,2016,19,2,0,2,Collision isolée,?,Dommage majeur,Aucun,OUI,O,N
83,M,2,Baccalauréat,Célibataire,cross-fit,sécurité,Honda,2022,16,2,0,3,Vol,?,Bris,Aucun,?,N,O
78,M,8,Primaire,Divorcé,parachutisme,artisant,Ford,2019,7,1,0,1,Collision multiple,Collision coté,Dommage majeur,Police,?,O,N
79,M,5,3ème cycle,Veuve,camping,ingénieur,Suburu,2016,13,2,0,0,Stationnement,Collision frontale,Dommage mineur,Autre,OUI,O,N
74,M,1,Aucun,Célibataire,cross-fit,contremaître,Saab,2005,4,1,0,2,Collision isolée,?,Bris,Aucun,?,N,N
99,M,7,Primaire,Veuve,parachutisme,ingénieur,Ford,2016,7,2,0,1,Collision isolée,Collision coté,Dommage majeur,Aucun,?,O,N
29,M,4,Aucun,Marié,jeux-plateau,employé,Saab,2005,21,1,2,0,Stationnement,Collision arrière,Dommage mineur,Aucun,?,N,N
30,M,1,Aucun,Célibataire,cross-fit,sans-emploi,Saab,2021,12,1,0,2,Vol,?,Bris,Police,?,N,O
48,M,7,Primaire,Veuve,parachutisme,chauffeur,Renault,2016,9,3,2,3,Vol,Collision frontale,Dommage mineur,Police,NON,O,N
49,M,4,Aucun,Marié,jeux-plateau,sans-emploi,BMW,2005,15,1,2,2,Collision isolée,?,Dommage majeur,Autre,?,O,N
44,M,1,Professionel,Célibataire,lecture,commercant,BMW,2021,6,1,2,0,Stationnement,Collision arrière,Perte totale,Aucun,NON,N,N
99,M,6,Secondaire,Marié,marche,chauffeur,BMW,2009,9,1,2,3,Stationnement,Collision frontale,Dommage mineur,Aucun,NON,O,N
29,M,3,Professionel,Veuf,kayak,ouvrier,Renault,2020,6,3,2,0,Stationnement,Collision arrière,Perte totale,Aucun,NON,N,N
24,F,9,Secondaire,Concubinage,équitation,professeur,Peugeot,2009,3,3,2,1,Collision multiple,Collision coté,Perte totale,Aucun,NON,O,N
79,F,6,Professionel,Divorcé,saut-élastique,prof-médicale,Peugeot,2019,0,3,1,2,Collision isolée,?,Dommage majeur,Aucun,NON,N,N
103,F,3,Secondaire,Concubinage,chasse,cadre,Peugeot,2009,4,3,1,3,Vol,Collision frontale,Bris,SAMU-SMUR,NON,N,O
57,M,8,3ème cycle,Veuve,parachutisme,ouvrier,Peugeot,2018,7,2,0,2,Collision isolée,?,Dommage majeur,SAMU-SMUR,OUI,N,N
51,M,5,3ème cycle,Concubinage,cinéma,sécurité,Peugeot,2015,22,2,0,0,Collision multiple,Collision arrière,Perte totale,Pompier,?,N,N
53,M,2,Baccalauréat,Célibataire,cross-fit,cadre,Accura,1999,5,2,0,3,Vol,Collision frontale,Bris,Police,OUI,O,N
47,M,8,Primaire,Veuve,parachutisme,professeur,Accura,2020,19,2,0,2,Collision isolée,Collision coté,Dommage majeur,SAMU-SMUR,?,O,N
72,M,4,Aucun,Célibataire,jeu-échecs,prof-médicale,Accura,2015,16,2,0,2,Collision isolée,?,Bris,SAMU-SMUR,?,N,N
74,M,2,Baccalauréat,Célibataire,cross-fit,ingénieur,Volkswagen,2021,22,2,0,1,Collision multiple,Collision coté,Perte totale,Aucun,OUI,N,N
98,M,8,3ème cycle,Veuve,parachutisme,ingénieur,Volkswagen,2017,19,2,0,2,Collision isolée,Collision coté,Dommage majeur,Aucun,?,O,N
93,M,4,Aucun,Célibataire,jeu-échecs,employé,Volkswagen,1999,0,2,0,3,Vol,?,Bris,Pompier,?,N,N
23,M,1,Primaire,Veuf,danse,ingénieur,Ford,2021,7,1,2,1,Collision multiple,Collision coté,Perte totale,Police,?,O,N
17,M,8,Secondaire,Veuve,parachutisme,agriculteur,Ford,2017,21,1,2,0,Stationnement,Collision frontale,Dommage mineur,Police,NON,O,O
42,M,4,Professionel,Célibataire,kayak,sans-emploi,Ford,1999,18,1,2,0,Collision multiple,Collision arrière,Perte totale,SAMU-SMUR,NON,N,N
67,M,1,Secondaire,Marié,équitation,ingénieur,Fiat,2018,15,3,2,1,Collision multiple,Collision coté,Dommage majeur,SAMU-SMUR,NON,O,N
68,M,7,Aucun,Marié,marche,sans-emploi,Fiat,2015,21,1,2,0,Stationnement,Collision frontale,Dommage mineur,Aucun,?,O,N
63,M,3,Professionel,Veuf,kayak,commercant,Saab,1999,12,3,2,2,Collision isolée,?,Bris,Police,NON,N,N
64,M,1,Primaire,Veuf,lecture,professeur,Renault,2019,18,1,2,1,Collision multiple,Collision coté,Perte totale,Police,?,N,N
89,M,7,Aucun,Marié,marche,professeur,Renault,2009,23,3,2,2,Collision isolée,Collision coté,Dommage majeur,Police,NON,O,N
84,F,3,Professionel,Veuf,kayak,ouvrier,Audi,1999,6,3,2,0,Stationnement,Collision arrière,Perte totale,Aucun,NON,N,N
78,F,1,Secondaire,Veuf,exercise,sécurité,Audi,2019,20,3,1,3,Vol,?,Bris,Aucun,OUI,N,O
103,F,7,Baccalauréat,Marié,saut-élastique,chauffeur,Audi,2009,17,3,1,0,Stationnement,Collision frontale,Dommage mineur,Police,OUI,O,N
105,F,2,Professionel,Concubinage,chasse,ouvrier,Audi,2020,14,3,1,0,Stationnement,Collision arrière,Perte totale,Police,OUI,N,N
35,F,9,Secondaire,Concubinage,exercise,technicien,Accura,2017,20,3,1,3,Vol,Collision frontale,Bris,Autre,NON,O,N
29,F,5,Baccalauréat,Divorcé,saut-élastique,cadre,Mercedes,2009,11,3,1,1,Collision isolée,Collision coté,Dommage majeur,Aucun,OUI,O,N
31,F,3,Professionel,Divorcé,basketball,employé,Honda,2021,2,3,1,0,Stationnement,Collision arrière,Dommage mineur,Aucun,NON,N,O
55,F,9,Secondaire,Concubinage,exercise,artisant,Honda,2015,5,2,0,3,Collision multiple,Collision frontale,Bris,Aucun,OUI,O,N
73,M,6,Professionel,Divorcé,saut-élastique,artisant,Honda,2022,19,2,0,2,Collision isolée,Collision coté,Dommage majeur,Aucun,?,O,N
75,M,2,3ème cycle,Veuve,chasse,employé,Suburu,2020,2,2,1,0,Stationnement,Collision arrière,Dommage mineur,Autre,OUI,N,N
69,M,9,Baccalauréat,Célibataire,jeux-vidéo,contremaître,Suburu,2016,16,2,0,3,Vol,?,Bris,Autre,?,N,O
